index,method
0,Radial Velocity
1,Transit
2,Transit
3,others
4,Transit
5,others
6,Radial Velocity
7,Transit
8,others
9,Transit
10,others
11,Transit
12,Transit
13,Transit
14,Radial Velocity
15,Transit
16,Transit
17,Radial Velocity
18,Transit
19,Radial Velocity
20,Transit
21,others
22,Transit
23,Radial Velocity
24,Transit
25,Transit
26,Radial Velocity
27,Transit
28,Transit
29,Transit
30,Transit
31,Radial Velocity
32,Transit
33,Transit
34,Radial Velocity
35,Transit
36,Transit
37,Transit
38,Transit
39,Transit
40,Transit
41,others
42,Radial Velocity
43,Transit
44,Transit
45,Transit
46,Transit
47,Radial Velocity
48,Transit
49,Radial Velocity
50,Radial Velocity
51,Transit
52,Transit
53,Radial Velocity
54,Transit
55,Radial Velocity
56,Transit
57,Transit
58,Transit
59,Transit
60,Transit
61,Radial Velocity
62,others
63,Radial Velocity
64,Transit
65,Radial Velocity
66,Transit
67,Radial Velocity
68,Transit
69,others
70,Transit
71,Radial Velocity
72,Radial Velocity
73,Transit
74,Transit
75,Transit
76,Transit
77,Radial Velocity
78,Transit
79,Transit
80,Transit
81,Transit
82,Transit
83,Transit
84,Transit
85,Transit
86,Transit
87,Radial Velocity
88,Radial Velocity
89,Transit
90,Transit
91,Transit
92,Transit
93,Transit
94,Transit
95,Transit
96,Radial Velocity
97,Transit
98,Transit
99,Transit
100,Transit
101,Radial Velocity
102,Radial Velocity
103,Transit
104,Transit
105,Radial Velocity
106,Radial Velocity
107,Transit
108,others
109,Transit
110,Transit
111,Radial Velocity
112,Transit
113,Transit
114,Transit
115,Transit
116,Transit
117,Transit
118,Transit
119,Transit
120,Transit
121,Transit
122,Transit
123,Transit
124,Transit
125,Transit
126,Transit
127,Transit
128,Transit
129,Radial Velocity
130,Transit
131,Transit
132,Transit
133,Transit
134,Transit
135,Transit
136,Transit
137,Radial Velocity
138,Radial Velocity
139,Transit
140,Radial Velocity
141,Radial Velocity
142,Transit
143,Radial Velocity
144,Transit
145,Transit
146,Transit
147,Transit
148,others
149,Transit
150,Radial Velocity
151,Transit
152,Transit
153,Transit
154,Transit
155,Transit
156,Transit
157,Transit
158,Radial Velocity
159,Transit
160,Radial Velocity
161,others
162,others
163,Transit
164,Transit
165,Transit
166,Transit
167,Radial Velocity
168,Transit
169,others
170,others
171,Radial Velocity
172,others
173,Radial Velocity
174,Radial Velocity
175,others
176,Transit
177,Radial Velocity
178,Radial Velocity
179,Transit
180,Radial Velocity
181,Radial Velocity
182,others
183,Radial Velocity
184,others
185,others
186,Radial Velocity
187,Transit
188,Radial Velocity
189,Transit
190,Transit
191,Transit
192,others
193,Transit
194,Transit
195,others
196,others
197,others
198,Transit
199,Transit
200,Transit
201,Radial Velocity
202,Transit
203,Transit
204,Transit
205,others
206,others
207,Radial Velocity
208,Transit
209,Radial Velocity
210,Transit
211,others
212,Transit
213,others
214,others
215,Transit
216,Transit
217,Transit
218,others
219,Transit
220,Transit
221,Transit
222,Radial Velocity
223,Radial Velocity
224,Radial Velocity
225,others
226,Transit
227,others
228,others
229,Radial Velocity
230,Transit
231,others
232,Radial Velocity
233,Transit
234,Transit
235,Transit
236,others
237,Transit
238,Radial Velocity
239,others
240,others
241,Radial Velocity
242,Transit
243,Transit
244,Radial Velocity
245,others
246,Transit
247,Radial Velocity
248,Radial Velocity
249,Transit
250,Radial Velocity
251,Transit
252,others
253,Transit
254,Transit
255,Transit
256,Transit
257,Transit
258,Transit
259,Transit
260,Transit
261,Transit
262,Transit
263,Transit
264,Transit
265,Transit
266,others
267,others
268,Transit
269,Transit
270,Transit
271,Radial Velocity
272,others
273,others
274,Radial Velocity
275,Transit
276,Transit
277,Transit
278,Radial Velocity
279,others
280,Radial Velocity
281,Radial Velocity
282,Transit
283,others
284,Radial Velocity
