index,method
0,others
1,others
2,others
3,others
4,others
5,others
6,others
7,others
8,others
9,others
10,others
11,others
12,others
13,others
14,others
15,others
16,others
17,others
18,others
19,others
20,others
21,others
22,others
23,others
24,others
25,others
26,others
27,others
28,others
29,others
30,others
31,others
32,others
33,others
34,others
35,others
36,others
37,others
38,others
39,others
40,others
41,others
42,others
43,others
44,others
45,others
46,others
47,others
48,others
49,others
50,others
51,others
52,others
53,others
54,others
55,others
56,others
57,others
58,others
59,others
60,others
61,others
62,others
63,others
64,others
65,others
66,others
67,others
68,others
69,others
70,others
71,others
72,others
73,others
74,others
75,others
76,others
77,others
78,others
79,others
80,others
81,others
82,others
83,others
84,others
85,others
86,others
87,others
88,others
89,others
90,others
91,others
92,others
93,others
94,others
95,others
96,others
97,others
98,others
99,others
100,others
101,others
102,others
103,others
104,others
105,others
106,others
107,others
108,others
109,others
110,others
111,others
112,others
113,others
114,others
115,others
116,others
117,others
118,others
119,others
120,others
121,others
122,others
123,others
124,others
125,others
126,others
127,others
128,others
129,others
130,others
131,others
132,others
133,others
134,others
135,others
136,others
137,others
138,others
139,others
140,others
141,others
142,others
143,others
144,others
145,others
146,others
147,others
148,others
149,others
150,others
151,others
152,others
153,others
154,others
155,others
156,others
157,others
158,others
159,others
160,others
161,others
162,others
163,others
164,others
165,others
166,others
167,others
168,others
169,others
170,others
171,others
172,others
173,others
174,others
175,others
176,others
177,others
178,others
179,others
180,others
181,others
182,Transit
183,others
184,others
185,others
186,others
187,others
188,others
189,others
190,others
191,others
192,others
193,others
194,others
195,others
196,others
197,others
198,others
199,others
200,others
201,others
202,others
203,others
204,others
205,others
206,others
207,others
208,others
209,others
210,others
211,others
212,others
213,others
214,others
215,others
216,others
217,others
218,others
219,others
220,others
221,others
222,others
223,others
224,others
225,others
226,others
227,others
228,others
229,others
230,others
231,others
232,others
233,others
234,others
235,others
236,others
237,others
238,others
239,others
240,others
241,others
242,others
243,others
244,others
245,others
246,others
247,others
248,others
249,others
250,others
251,others
252,others
253,others
254,others
255,others
256,others
257,others
258,others
259,others
260,others
261,others
262,others
263,others
264,others
265,others
266,others
267,others
268,others
269,others
270,others
271,others
272,others
273,others
274,others
275,others
276,others
277,others
278,others
279,others
280,others
281,others
282,others
283,others
284,others
