image,label
test_841.jpg,dust
test_984.jpg,rain
test_43.jpg,rain
test_1022.jpg,dust
test_1068.jpg,dust
test_713.jpg,rain
test_763.jpg,snow
test_377.jpg,sunny
test_191.jpg,snow
test_31.jpg,snow
test_701.jpg,snow
test_982.jpg,fog
test_261.jpg,sunny
test_166.jpg,rain
test_394.jpg,snow
test_727.jpg,sunny
test_1035.jpg,sunny
test_314.jpg,dust
test_262.jpg,sunny
test_230.jpg,dust
test_212.jpg,sunny
test_474.jpg,fog
test_882.jpg,sunny
test_152.jpg,snow
test_469.jpg,fog
test_743.jpg,snow
test_288.jpg,sunny
test_862.jpg,dust
test_671.jpg,snow
test_559.jpg,dust
test_536.jpg,rain
test_1002.jpg,sunny
test_667.jpg,sunny
test_214.jpg,sunny
test_881.jpg,snow
test_595.jpg,dust
test_107.jpg,dust
test_891.jpg,dust
test_586.jpg,sunny
test_798.jpg,fog
test_160.jpg,snow
test_633.jpg,snow
test_435.jpg,sunny
test_90.jpg,snow
test_128.jpg,sunny
test_921.jpg,sunny
test_106.jpg,sunny
test_659.jpg,dust
test_76.jpg,fog
test_828.jpg,fog
test_177.jpg,dust
test_322.jpg,snow
test_347.jpg,fog
test_733.jpg,rain
test_97.jpg,sunny
test_819.jpg,sunny
test_51.jpg,snow
test_865.jpg,snow
test_863.jpg,rain
test_308.jpg,rain
test_994.jpg,dust
test_800.jpg,fog
test_996.jpg,snow
test_496.jpg,dust
test_901.jpg,dust
test_295.jpg,sunny
test_696.jpg,dust
test_654.jpg,sunny
test_1081.jpg,sunny
test_77.jpg,dust
test_398.jpg,dust
test_668.jpg,fog
test_885.jpg,sunny
test_725.jpg,sunny
test_897.jpg,snow
test_784.jpg,dust
test_537.jpg,fog
test_898.jpg,fog
test_10.jpg,sunny
test_1000.jpg,snow
test_28.jpg,dust
test_606.jpg,sunny
test_582.jpg,sunny
test_338.jpg,rain
test_834.jpg,dust
test_820.jpg,rain
test_929.jpg,dust
test_549.jpg,sunny
test_484.jpg,rain
test_888.jpg,dust
test_550.jpg,fog
test_587.jpg,sunny
test_33.jpg,dust
test_64.jpg,sunny
test_1012.jpg,sunny
test_209.jpg,fog
test_397.jpg,sunny
test_682.jpg,sunny
test_663.jpg,dust
test_579.jpg,fog
test_748.jpg,dust
test_507.jpg,sunny
test_794.jpg,rain
test_643.jpg,sunny
test_413.jpg,fog
test_625.jpg,dust
test_56.jpg,snow
test_812.jpg,fog
test_1064.jpg,fog
test_38.jpg,dust
test_406.jpg,snow
test_491.jpg,fog
test_756.jpg,fog
test_574.jpg,sunny
test_341.jpg,rain
test_21.jpg,sunny
test_379.jpg,rain
test_711.jpg,dust
test_880.jpg,dust
test_320.jpg,dust
test_319.jpg,dust
test_751.jpg,fog
test_285.jpg,sunny
test_109.jpg,snow
test_640.jpg,sunny
test_279.jpg,rain
test_700.jpg,fog
test_270.jpg,snow
test_268.jpg,fog
test_296.jpg,sunny
test_543.jpg,dust
test_1044.jpg,rain
test_702.jpg,rain
test_24.jpg,sunny
test_400.jpg,rain
test_303.jpg,dust
test_657.jpg,sunny
test_333.jpg,rain
test_339.jpg,fog
test_267.jpg,sunny
